Prebuilt Roles,,,,Custom Roles
chronicle.ingestionLogLabels.get,chronicle.legacies.legacyRunTestRule,chronicle.riskConfigs.get,,chronicle.legacies.legacySearchDomainsTimingStats
chronicle.ingestionLogLabels.list,chronicle.legacies.legacySearchArtifactEvents,chronicle.ruleDeployments.get,,chronicle.legacies.legacySearchEnterpriseWideAlerts
chronicle.ingestionLogNamespaces.get,chronicle.legacies.legacySearchArtifactIoCDetails,chronicle.ruleDeployments.list,,chronicle.legacies.legacySearchEnterpriseWideIoCs
chronicle.ingestionLogNamespaces.list,chronicle.legacies.legacySearchAssetEvents,chronicle.ruleExecutionErrors.list,,chronicle.legacies.legacySearchFindings
chronicle.instances.generateCollectionAgentAuth,chronicle.legacies.legacySearchCuratedDetections,chronicle.rules.get,,chronicle.legacies.legacySearchIngestionStats
chronicle.instances.generateSoarAuthJwt,chronicle.legacies.legacySearchCustomerStats,chronicle.rules.list,,chronicle.legacies.legacySearchIoCInsights
chronicle.instances.generateWorkspaceConnectionToken,chronicle.legacies.legacySearchDetections,chronicle.rules.listRevisions,,chronicle.legacies.legacySearchRawLogs
chronicle.instances.get,chronicle.legacies.legacySearchDomainsRecentlyRegistered,chronicle.rules.verifyRuleText,,chronicle.legacies.legacySearchRuleDetectionCountBuckets
chronicle.instances.graduatePocInstance,chronicle.legacies.legacySearchDomainsTimingStats,chronicle.searchQueries.create,,chronicle.legacies.legacySearchRuleDetectionEvents
chronicle.instances.logTypeClassifier,chronicle.legacies.legacySearchEnterpriseWideAlerts,chronicle.searchQueries.delete,,chronicle.legacies.legacySearchRuleResults
chronicle.instances.report,chronicle.legacies.legacySearchEnterpriseWideIoCs,chronicle.searchQueries.get,,chronicle.legacies.legacySearchRulesAlerts
chronicle.instances.update,chronicle.legacies.legacySearchFindings,chronicle.searchQueries.list,,chronicle.legacies.legacySearchUserEvents
chronicle.instances.verifyNonce,chronicle.legacies.legacySearchIngestionStats,chronicle.searchQueries.update,,chronicle.legacies.legacyStreamDetectionAlerts
chronicle.iocAssociations.batchGet,chronicle.legacies.legacySearchIoCInsights,chronicle.threatCollectionFilterSet.get,,chronicle.legacies.legacyTestRuleStreaming
chronicle.iocAssociations.fetchRelatedIocAssociations,chronicle.legacies.legacySearchRawLogs,chronicle.threatCollections.fetchIocMatchMetadata,,chronicle.legacies.legacyUpdateAlert
chronicle.iocAssociations.fetchRelatedThreatCollections,chronicle.legacies.legacySearchRuleDetectionCountBuckets,chronicle.threatCollections.fetchRuleMetadata,,chronicle.logTypeSchemas.list
chronicle.iocAssociations.get,chronicle.legacies.legacySearchRuleDetectionEvents,chronicle.threatCollections.get,,chronicle.logTypeSettings.get
chronicle.iocMatches.get,chronicle.legacies.legacySearchRuleResults,chronicle.threatCollections.list,,chronicle.logTypeSettings.list
chronicle.iocMatches.list,chronicle.legacies.legacySearchRulesAlerts,chronicle.watchlists.get,,chronicle.logTypes.get
chronicle.iocState.get,chronicle.legacies.legacySearchUserEvents,chronicle.watchlists.list,,chronicle.logTypes.list
chronicle.iocState.update,chronicle.legacies.legacyStreamDetectionAlerts,resourcemanager.projects.get,,chronicle.logs.export
chronicle.iocs.batchGet,chronicle.legacies.legacyTestRuleStreaming,resourcemanager.projects.list,,chronicle.logs.get
